,ID,type,name,Vermin,stars,votes,safety
391,108960303,Boulder,Spit Shine,V1-2,4.5,4,
392,108960238,Boulder,Olsmolke,V5+,4.4,5,
394,118890585,Boulder,Gigawatts,V5-,4.5,2,
404,108960291,Boulder,Brush Me Baby,V5+,4.0,3,
405,108960270,Boulder,Pipe Dream,V4,3.8,6,
408,120328412,Boulder,Funky & Gunky,V1,4.0,2,
414,120373927,Boulder,Shoes of the Fisherman,V3,4.0,1,
415,112231281,Boulder,Silent Love,V3,4.0,1,
416,120361150,Boulder,Bulge Wrangler,V3-4,4.0,1,
417,112227019,Boulder,Tumbler,V3-4,4.0,1,
418,112231375,Boulder,Blast Off,V5,4.0,1,
419,120374001,Boulder,Logos,V0,4.0,1,
422,107416774,Boulder,Honk If You love Jesus,V5,3.8,4,
423,107416750,Boulder,John,V3,3.8,4,
426,108960282,Boulder,Little Johnny Pockets,V1+,3.6,5,
429,108964378,Boulder,Tangerine,V2,3.5,4,
452,120345721,Boulder,Silky Smooth Lowball,V1,3.0,2,
457,112243067,Boulder,Friends with the Benedicts,V2,3.0,1,
458,120361111,Boulder,Milkweed Slab,V1-2,3.0,1,
460,120368688,Boulder,Heat Sensitive,V2,3.0,1,
461,120373970,Boulder,Elmer Gantry,V2,3.0,1,
463,120758384,Boulder,House of the Rising Sun,V5,3.0,1,
477,120338326,Boulder,Primrose,V1,2.5,2,
482,120327099,Boulder,Mugwort Tea,V1,2.0,2,
515,120335055,Boulder,Center Project,V10,5.0,1,
516,120335258,Boulder,Direct,V2-3,5.0,1,
533,118774856,Boulder,Soap Chick,V0,4.5,2,
586,120335295,Boulder,North Face routes,V3-4,4.0,1,R
587,111710530,Boulder,Bench Mantle,V2,4.0,1,
589,120335025,Boulder,Left Arete,V3-4,4.0,1,
590,120258584,Boulder,Center Line,V2,4.0,1,PG13
624,118783934,Boulder,Corona Time,V1,3.5,2,
635,120335234,Boulder,Traverse,V1-2,3.5,2,
636,120155217,Boulder,Act of Faith,V2-3,3.5,2,
637,120256967,Boulder,Meat Hook,V2-,3.5,2,
639,120335212,Boulder,High Step,V0+,3.5,2,
691,120155206,Boulder,Left Center,V1,3.0,2,
692,119820152,Boulder,Starting Line,V4,3.0,1,
700,120256980,Boulder,Flagpole sitter,V1-2,3.0,1,
704,120434302,Boulder,Roof,V3-4,3.0,1,
707,120335078,Boulder,Get It Started,V0-1,3.0,1,R
755,120155235,Boulder,Right Arete,V0-1,2.5,2,
756,120335223,Boulder,Crack,V0-1,2.5,2,
757,120335201,Boulder,Black Slab,V0,2.5,2,
780,107065408,Boulder,Pocket Rocket,V3,4.7,9,
782,120022173,Boulder,Occams Phaser,V5,5.0,1,
783,120022171,Boulder,Dads in New Balances,V3,5.0,1,
794,107920107,Boulder,C&J's Comet,V2,4.4,7,
802,112339161,Boulder,Side Saddle,V4-,4.5,2,
812,107453197,Boulder,Battle of the Bulge,V0,3.8,10,
824,107896734,Boulder,Starlite Decay,V1-2,4.0,3,PG13
826,107843797,Boulder,Parking Lot Boulder,V0-,4.0,3,
831,107912487,Boulder,Ups and Downs,V3-4,4.0,2,
835,107860261,Boulder,Head-to-Toe,V2,4.0,1,
837,108316153,Boulder,Dont Look Back,V0,4.0,1,
839,107901756,Boulder,Lean On Me,V1,4.0,1,
846,107886606,Boulder,Uranus,V1-2,3.6,5,
848,107877168,Boulder,Rainbow Rail,V5-,3.5,6,
859,107891765,Boulder,Rat Hole,V2-,3.5,2,
864,107863113,Boulder,Cosmic Sloper Stand,V2,3.3,3,
887,107873160,Boulder,Southwest Arete,V3-4,3.0,2,
888,107875823,Boulder,Blast Off,V1-2,3.0,2,
896,120022179,Boulder,Horse Bananas,V3,3.0,1,
901,112847559,Boulder,Butt Play,V0,3.0,1,
903,111698675,Boulder,Half Penny,V1,3.0,1,PG13
907,111698703,Boulder,Two Penny,V1,3.0,1,PG13
908,107873138,Boulder,Cosmic Sloper Sit,V4-5,3.0,1,
909,107876757,Boulder,Crimp Toss,V5,3.0,1,
910,107848026,Boulder,Welcome to Stonehenge,V2,3.0,1,
912,107923058,Boulder,Jim Was Here,V0,3.0,1,
913,107904844,Boulder,Fear The Bulge,V3,3.0,1,
